resynth_path,model,category,method,grouping,pair,instrument,alpha,distance
./results_reordered/finetuned_from_30k_for_30k/output/vn_fl/alpha_100,finetuned_from_30k_for_30k,output,output,,vn_fl,,alpha_100,0.1364489197731018
./results_reordered/finetuned_from_30k_for_30k/weights/fl_tpt/alpha_0,finetuned_from_30k_for_30k,weights,weights,,fl_tpt,,alpha_0,0.11736154556274414
./results_reordered/finetuned_from_30k_for_30k/weights/fl_tpt/alpha_25,finetuned_from_30k_for_30k,weights,weights,,fl_tpt,,alpha_25,0.13412553071975708
./results_reordered/finetuned_from_30k_for_30k/weights/fl_tpt/alpha_50,finetuned_from_30k_for_30k,weights,weights,,fl_tpt,,alpha_50,0.16373354196548462
./results_reordered/finetuned_from_30k_for_30k/weights/fl_tpt/alpha_75,finetuned_from_30k_for_30k,weights,weights,,fl_tpt,,alpha_75,0.1977442502975464
./results_reordered/finetuned_from_30k_for_30k/weights/fl_tpt/alpha_100,finetuned_from_30k_for_30k,weights,weights,,fl_tpt,,alpha_100,0.23400747776031494
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_fl/alpha_0,finetuned_from_30k_for_30k,weights,weights,,tpt_fl,,alpha_0,0.26351696252822876
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_fl/alpha_25,finetuned_from_30k_for_30k,weights,weights,,tpt_fl,,alpha_25,0.2586667537689209
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_fl/alpha_50,finetuned_from_30k_for_30k,weights,weights,,tpt_fl,,alpha_50,0.23838847875595093
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_fl/alpha_75,finetuned_from_30k_for_30k,weights,weights,,tpt_fl,,alpha_75,0.20922160148620605
./results_reordered/finetuned_from_30k_for_30k/weights/tpt_fl/alpha_100,finetuned_from_30k_for_30k,weights,weights,,tpt_fl,,alpha_100,0.18127262592315674
./results_reordered/finetuned_from_30k_for_30k/weights/fl_vn/alpha_0,finetuned_from_30k_for_30k,weights,weights,,fl_vn,,alpha_0,0.1171879768371582
./results_reordered/finetuned_from_30k_for_30k/weights/fl_vn/alpha_25,finetuned_from_30k_for_30k,weights,weights,,fl_vn,,alpha_25,0.12953197956085205
./results_reordered/finetuned_from_30k_for_30k/weights/fl_vn/alpha_50,finetuned_from_30k_for_30k,weights,weights,,fl_vn,,alpha_50,0.14086639881134033
./results_reordered/finetuned_from_30k_for_30k/weights/fl_vn/alpha_75,finetuned_from_30k_for_30k,weights,weights,,fl_vn,,alpha_75,0.16752839088439941
./results_reordered/finetuned_from_30k_for_30k/weights/fl_vn/alpha_100,finetuned_from_30k_for_30k,weights,weights,,fl_vn,,alpha_100,0.19995379447937012
./results_reordered/finetuned_from_30k_for_30k/weights/vn_fl/alpha_0,finetuned_from_30k_for_30k,weights,weights,,vn_fl,,alpha_0,0.24773067235946655
./results_reordered/finetuned_from_30k_for_30k/weights/vn_fl/alpha_25,finetuned_from_30k_for_30k,weights,weights,,vn_fl,,alpha_25,0.20272350311279297
